league,team,player,champion,dmgtochamps,predicted,goldspent
LMS,J Team,Bebe,Ashe,13837,15182.165259712287,12525
LMS,Fire Ball,Unified,Ashe,21435,15331.662010113796,12600
LMS,Wayi Spider,Breeze,Ashe,8755,12669.451109929556,11275
LMS,AHQ e-Sports Club,An,Ashe,18894,18333.66311994614,14125
LMS,Wayi Spider,Breeze,Ashe,8401,22940.717362765332,16550
LMS,Machi 17,Dee,Ashe,9609,9875.58267171936,9900
LMS,Hong Kong Esports,GodKwai,Ashe,17298,13678.919184993563,11775
LMS,eXtreme Gamers,LBB,Ashe,15003,19349.098591462887,14650
LMS,eXtreme Gamers,LBB,Ashe,4264,11807.858716742643,10850
LMS,eXtreme Gamers,LBB,Ashe,10965,11706.326221447416,10800
LMS,Wayi Spider,Breeze,Ashe,15934,17210.606805756295,13550
LMS,Wayi Spider,Breeze,Ashe,14777,16422.897938314407,13150
LMS,eXtreme Gamers,LBB,Ashe,11122,8099.303843204705,9025
LMS,eXtreme Gamers,LBB,Ashe,4754,7443.990514730901,8700
LMS,Fire Ball,Unified,Ashe,33405,24276.081748094173,17275
LMS,Fire Ball,Unified,Ashe,27336,36329.566886908295,24350
LMS,J Team,Bebe,Ashe,26790,28035.023566139313,19375
LMS,AHQ e-Sports Club,An,Ashe,10530,14682.710173964977,12275
LMS,AHQ e-Sports Club,An,Ashe,11392,15828.806456757775,12850
LMS,Fire Ball,Unified,Ashe,6760,5122.47291365458,7525
LMS,Fire Ball,Unified,Ashe,6969,5267.380734442802,7600
LMS,Flash Wolves,Betty,Ashe,8463,14281.942396778139,12075
LMS,Flash Wolves,Betty,Ashe,5505,11553.972381106772,10725
LMS,J Team,BeBe,Ashe,18041,22008.42518306043,16050
LMS,J Team,BeBe,Ashe,12061,10028.21594246115,9975
LMS,Machi 17,Dee,Ashe,36201,27463.75015112929,19050
LMS,Machi 17,Dee,Ashe,15707,18041.77399783838,13975
LMS,Hong Kong Attitude,GodKwai,Ashe,17932,11299.917504938603,10600
LMS,Wayi Spider,Breeze,Ashe,20437,9011.386165141259,9475
LMS,Wayi Spider,Breeze,Ashe,9944,10791.422037829574,10350
LMS,Hong Kong Attitude,GodKwai,Ashe,13437,10231.747287624643,10075
LMS,AHQ e-Sports Club,LBB,Ashe,12460,10079.09726046,1e4
LMS,AHQ e-Sports Club,An,Ashe,15505,15878.419056045243,12875
LMS,Wayi Spider,Breeze,Ashe,28534,21303.138584831417,15675
LMS,Wayi Spider,Breeze,Ashe,33375,20259.372889847164,15125
LMS,J Team,BeBe,Ashe,21521,28070.055453232228,19395
LMS,J Team,BeBe,Ashe,18688,19924.95451085623,14950
LMS,Flash Wolves,Madnesss,Ashe,27301,24321.78158672245,17300
LMS,Wayi Spider,Breeze,Ashe,17690,18479.316385438644,14200
LMS,Machi 17,Dee,Ashe,10066,5705.39481661352,7825
LMS,Machi 17,Dee,Ashe,7258,10079.097260460003,1e4
LMS,Fire Ball,Unified,Ashe,17108,24822.955633389487,17575
LMS,Wayi Spider,Breeze,Ashe,8972,16768.15396670129,13325
LMS,Wayi Spider,Breeze,Ashe,26612,26354.451711385467,18425
LMS,J Team,BeBe,Ashe,21721,20354.717042889864,15175
LMS,Flash Wolves,Betty,Ashe,6757,9417.860015924576,9675
LMS,Hong Kong Attitude,GodKwai,Ashe,14651,5558.871391239675,7750
LMS,J Team,BeBe,Ashe,14452,18547.221053418438,14235
LMS,J Team,BeBe,Ashe,14110,11249.088869393017,10575
LMS,Wayi Spider,Breeze,Ashe,9947,21208.708802496974,15625
LMS,AHQ e-Sports Club,An,Ashe,12736,17602.500126900162,13750
LMS,Fire Ball,Unified,Ashe,6414,8149.851972437348,9050
LMS,AHQ e-Sports Club,An,Ashe,15718,19512.585326213077,14735
LMS,AHQ e-Sports Club,An,Ashe,17721,11096.572022686812,10500
LMS,J Team,BeBe,Ashe,19046,17308.704661949287,13600
LMS,AHQ e-Sports Club,An,Ashe,22244,17944.306151383476,13925
LMS,J Team,BeBe,Ashe,11181,14131.39121292217,12e3
LMS,AHQ e-Sports Club,An,Ashe,10313,5999.858332460403,7975
LMS,Hong Kong Attitude,Unified,Ashe,17131,19059.965001964458,14500
LMS,Hong Kong Attitude,Unified,Ashe,12287,11350.740573222052,10625
LMS,Wayi Spider,Breeze,Ashe,26448,12720.041432967897,11300
LMS,Hong Kong Attitude,Unified,Ashe,28273,29123.059689440877,2e4
LMS,Raise Gaming,LilV,Ashe,22343,19541.409116953455,14750
LMS,Hong Kong Esports,GodKwai,Caitlyn,7386,6902.802934486591,7750
LMS,Machi 17,Dee,Caitlyn,13636,18575.230075545252,13100
LMS,Raise Gaming,LilV,Caitlyn,26179,28487.191793906943,18050
LMS,Fire Ball,Unified,Caitlyn,22871,18785.93907169784,13200
LMS,Machi 17,Dee,Caitlyn,19552,36483.41538006875,22475
LMS,Hong Kong Attitude,GodKwai,Caitlyn,10148,9153.497901522253,8775
LMS,Wayi Spider,Breeze,Caitlyn,29521,32783.824739486314,20375
LMS,Flash Wolves,Madnesss,Caitlyn,26555,27725.55900267039,17650
LMS,Machi 17,Dee,Caitlyn,7525,18205.498310088067,12925
LMS,Fire Ball,Unified,Caitlyn,27409,21075.852376634783,14300
LMS,Hong Kong Attitude,GodKwai,Caitlyn,16013,20921.371615666085,14225
LMS,Hong Kong Attitude,GodKwai,Caitlyn,28043,32060.077834212916,19975
LMS,Fire Ball,Unified,Caitlyn,9764,15907.70819189627,11850
LMS,Raise Gaming,LilV,Caitlyn,25299,31604.534450104988,19725
LMS,Raise Gaming,LilV,Caitlyn,25131,28392.35624493353,18e3
LMS,Raise Gaming,LilV,Caitlyn,25131,28392.35624493353,18e3
LMS,Machi 17,Dee,Caitlyn,8290,10370.58056423365,9325
LMS,Flash Wolves,Betty,Caitlyn,15839,12800.41323887949,10425
LMS,Hong Kong Attitude,GodKwai,Caitlyn,24095,31558.843599625012,19700
LMS,Hong Kong Attitude,GodKwai,Caitlyn,21629,32422.735231179548,20175
LMS,Flash Wolves,Betty,Caitlyn,26038,21384.080578868707,14450
LMS,AHQ e-Sports Club,An,Caitlyn,29952,22556.523517369806,15025
LMS,Fire Ball,Unified,Caitlyn,36206,32783.824739486314,20375
LMS,Fire Ball,Unified,Caitlyn,39109,21844.584365881958,14675
LMS,AHQ e-Sports Club,An,Caitlyn,23510,24660.11763976406,16075
LMS,AHQ e-Sports Club,An,Caitlyn,12248,11366.382969766279,9775
LMS,AHQ e-Sports Club,An,Caitlyn,20095,15637.713760893204,11725
LMS,AHQ e-Sports Club,An,Caitlyn,13379,13569.019888696255,10775
LMS,Machi 17,Dee,Caitlyn,10761,10702.64540003911,9475
LMS,AHQ e-Sports Club,An,Caitlyn,10606,18099.630822995987,12875
LMS,Flash Wolves,Betty,Caitlyn,14103,16392.28272676809,12075
LMS,Fire Ball,Enzz,Caitlyn,7359,12965.360556611713,10500
LMS,Hong Kong Attitude,Unified,Caitlyn,17769,16553.393659660098,12150
LMS,Wayi Spider,Breeze,Caitlyn,23714,27053.568708474835,17300
LMS,Flash Wolves,Betty,Caitlyn,46551,31695.841519479058,19775
LMS,Raise Gaming,LilV,Caitlyn,25953,22302.87542488646,14900
LMS,Fire Ball,Enzz,Caitlyn,14872,11808.353823891897,9975
LMS,Fire Ball,Enzz,Caitlyn,16041,16123.302201549941,11950
LMS,J Team,BeBe,Caitlyn,14086,5825.202150924206,7250
LMS,Wayi Spider,Breeze,Ezreal,12944,13647.114651656097,9975
LMS,eXtreme Gamers,LBB,Ezreal,15545,25142.95273405666,15058
LMS,AHQ e-Sports Club,An,Ezreal,12024,16837.302957187145,11333
LMS,Machi 17,Dee,Jhin,5198,17138.826506918693,12550
LMS,Hong Kong Esports,GodKwai,Jhin,26373,21946.43047248022,14875
LMS,Flash Wolves,Betty,Jhin,10814,18661.781016487024,13275
LMS,J Team,Bebe,Jhin,17892,19078.20601868941,13475
LMS,Flash Wolves,Betty,Jhin,38905,41239.758787151724,25575
LMS,J Team,BeBe,Jhin,14398,18296.07822715758,13100
LMS,Wayi Spider,Breeze,Jhin,37020,34839.954587237684,21750
LMS,Machi 17,Dee,Jhin,6152,13276.2707124397,10750
LMS,Hong Kong Attitude,GodKwai,Jhin,34911,21592.44810768538,14700
LMS,Raise Gaming,Ran,Jhin,7914,12786.77286477375,10525
LMS,Machi 17,Dee,Jhin,13564,20214.86101587703,14025
LMS,J Team,BeBe,Jhin,26272,17191.683482745648,12575
LMS,Raise Gaming,LilV,Jhin,19253,11750.029717997824,10050
LMS,Hong Kong Attitude,Unified,Jhin,13867,12786.772864773739,10525
LMS,Fire Ball,Enzz,Jhin,13520,11968.614907767103,10150
LMS,J Team,BeBe,Jhin,16503,19182.056506473247,13525
LMS,J Team,BeBe,Jhin,9617,8903.193822434541,8750
LMS,Machi 17,Dee,Jhin,8238,10162.266618450418,9325
LMS,Hong Kong Attitude,Unified,Jhin,38324,28046.98333131194,18e3
LMS,Machi 17,Dee,Jhin,5020,13872.86298177687,11025
LMS,Machi 17,Dee,Jhin,11712,13439.17015341433,10825
LMS,Machi 17,Dee,Jhin,47286,33745.40169640196,21125
LMS,AHQ e-Sports Club,An,Kalista,9118,10054.757401915482,10500
LMS,Fire Ball,Unified,Kalista,6614,7978.982159718048,9425
LMS,Wayi Spider,Breeze,Kalista,8526,8797.666306968365,9850
LMS,J Team,BeBe,Kalista,12997,16940.43836843038,14100
LMS,Flash Wolves,Betty,Kalista,15968,19164.149999047262,15300
LMS,Flash Wolves,Betty,Kalista,15294,8267.476399304709,9575
LMS,Flash Wolves,Betty,Kalista,24265,24907.892102111637,18525
LMS,J Team,BeBe,Kalista,20468,21476.340117626092,16575
LMS,J Team,BeBe,Kalista,20468,21476.340117626092,16575
LMS,Fire Ball,Unified,Kalista,6989,7260.688883589434,9050
LMS,Flash Wolves,Betty,Kalista,16651,14484.254583356693,12800
LMS,AHQ e-Sports Club,An,Kalista,11414,14627.147443994427,12875
LMS,AHQ e-Sports Club,An,Kalista,13062,21476.340117626092,16575
LMS,Wayi Spider,Breeze,Kalista,27400,26914.359739888645,19700
LMS,Raise Gaming,LilV,Kalista,33521,36370.14319098952,25625
LMS,Flash Wolves,Betty,Kalista,18240,15149.91732773241,13150
LMS,Hong Kong Attitude,Unified,Kalista,7044,8075.083183085951,9475
LMS,Hong Kong Attitude,Unified,Kalista,13246,13959.203883292374,12525
LMS,Wayi Spider,Breeze,Kalista,7897,5796.536643034221,8275
LMS,Wayi Spider,Breeze,Kalista,5838,6077.129618800866,8425
LMS,Wayi Spider,Breeze,Kalista,5691,17360.744517539122,14325
LMS,Wayi Spider,Breeze,Kalista,7086,6124.0460331519,8450
LMS,Wayi Spider,Breeze,Kalista,4748,10780.753139854836,10875
LMS,J Team,BeBe,Kalista,15592,17220.80975397551,14250
LMS,Machi 17,Dee,Kalista,45588,37642.724485626175,26475
LMS,AHQ e-Sports Club,An,Kalista,8224,13528.391259226666,12300
LMS,Raise Gaming,LilV,Kalista,15437,15102.470700715,13125
LMS,Flash Wolves,Betty,Kalista,20788,11844.280594415626,11425
LMS,Flash Wolves,Betty,Kalista,14268,10393.57565435254,10675
LMS,Fire Ball,Enzz,Kalista,16919,18704.579924409187,15050
LMS,Wayi Spider,Breeze,Kalista,15261,16142.503460337894,13675
LMS,Hong Kong Attitude,Unified,Kalista,12819,11264.474658479838,11125
LMS,Raise Gaming,LilV,Kalista,10020,10054.757401915484,10500
LMS,Fire Ball,Enzz,Kalista,5775,6500.790112911103,8650
LMS,Machi 17,Dee,Kalista,11815,15197.348039200027,13175
