position,team,player,dmg_performance
Top,Team SoloMid,Hauntzer,25.14
Top,Cloud9,Ray,14.55
Top,EnVyUs,Seraph,8.59
Top,Dignitas,Ssumday,8.52
Top,Counter Logic Gaming,Darshan,5.58
Top,Cloud9,Impact,4.29
Top,Team Liquid,Lourlo,3.92
Top,Phoenix1,zig,1.55
Top,Echo Fox,Looper,1.11
Top,Immortals,Flame,0.25
Top,FlyQuest,Balls,-3.49
Top,Echo Fox,Brandini,-13.27
Top,Flyquest,Balls,-24.06
Top,Phoenix1,Allorim,-39.89
Jungle,Immortals,Dardoch,71.17
Jungle,Team Liquid,Inori,63.98
Jungle,Counter Logic Gaming,Xmithie,40.6
Jungle,Dignitas,Chaser,31.04
Jungle,Counter Logic Gaming,Dardoch,24.6
Jungle,Cloud9,Contractz,23.84
Jungle,Team SoloMid,Svenskeren,18.15
Jungle,EnVyUs,LirA,14.22
Jungle,Immortals,Xmithie,9.61
Jungle,Team Liquid,Dardoch,9.04
Jungle,Phoenix1,Meteos,5.83
Jungle,Team Liquid,Reignover,4.81
Jungle,Echo Fox,Akaadian,3.57
Jungle,Phoenix1,MikeYeung,2.49
Jungle,Dignitas,Shrimp,-2.44
Jungle,FlyQuest,Moon,-4.97
Jungle,Counter Logic Gaming,OmarGod,-6.41
Jungle,Flyquest,Moon,-7.55
Jungle,Phoenix1,Inori,-8.39
Jungle,Echo Fox,Grig,-13.65
Middle,EnVyUs,Ninja,71.34
Middle,Echo Fox,Froggen,27.25
Middle,Team SoloMid,Bjergsen,21.42
Middle,Team Liquid,Mickey,20.68
Middle,FlyQuest,Hai,14.53
Middle,Cloud9,Jensen,13.43
Middle,Counter Logic Gaming,Huhi,13.24
Middle,EnVyUs,Pirean,11.26
Middle,Flyquest,Hai,9.89
Middle,Immortals,Pobelter,6.9
Middle,Phoenix1,Ryu,4.09
Middle,EnVyUs,Nisqy,2.67
Middle,Team Liquid,Goldenglue,1.75
Middle,Dignitas,Keane,-0.81
Middle,Echo Fox,Damonte,-4.97
Middle,Team Liquid,Piglet,-11.24
Middle,Team Liquid,Slooshi,-14.09
Middle,Phoenix1,Pirean,-18.68
ADC,Team Liquid,Piglet,19.68
ADC,Team SoloMid,Doublelift,15.25
ADC,FlyQuest,WildTurtle,14.11
ADC,EnVyUs,Apollo,13.99
ADC,Counter Logic Gaming,Stixxay,12.74
ADC,Phoenix1,Arrow,8.13
ADC,Flyquest,Altec,6.54
ADC,Echo Fox,Keith,6.28
ADC,Immortals,Cody Sun,5.71
ADC,Dignitas,LOD,5.27
ADC,Cloud9,Sneaky,5.12
ADC,Dignitas,Altec,-1.2
ADC,Team Liquid,Doublelift,-13.1
ADC,Echo Fox,Mash,-20.9
ADC,Counter Logic Gaming,aphromoo,-43.1
ADC,Team SoloMid,WildTurtle,-45.5
Support,Immortals,Olleh,38.59
Support,Dignitas,Xpecial,27.01
Support,EnVyUs,Hakuho,25.52
Support,FlyQuest,LemonNation,22.81
Support,Dignitas,Adrian,12.85
Support,Counter Logic Gaming,Joey,12.63
Support,Team SoloMid,Biofrost,6.1
Support,Phoenix1,Shady,4.29
Support,Team Liquid,Matt,4.11
Support,Dignitas,Big,3.68
Support,Team Liquid,konkwon,-0.09
Support,Flyquest,LemonNation,-1.58
Support,Counter Logic Gaming,aphromoo,-1.64
Support,Phoenix1,Xpecial,-5.5
Support,Cloud9,Smoothie,-7.81
Support,Echo Fox,Gate,-9.47
Support,Phoenix1,Stunt,-55.58
