position,team,player,dmg_performance
Top,Longzhu Gaming,Expession,37.06
Top,KT Rolster,Smeb,18.36
Top,Longzhu Gaming,Khan,17.93
Top,MVP,ADD,16.17
Top,SK Telecom T1,Huni,15.18
Top,Jin Air Green Wings,ikssu,6.02
Top,Samsung Galaxy,CuVee,4.83
Top,Jin Air Green Wings,SoHwan,4.36
Top,Afreeca Freecs,MaRin,4.24
Top,BBQ Olivers,Crazy,2.15
Top,ROX Tigers,Lindarang,0.9
Top,ROX Tigers,Shy,-0.7
Top,Ever8 Winners,Kiin,-2.11
Top,Ever8 Winners,Helper,-3.04
Top,BBQ Olivers,Part,-3.39
Top,SK Telecom T1,Untara,-7.02
Top,Longzhu Gaming,Rascal,-12.99
Top,SK Telecom T1,Profit,-15.78
Top,Kongdoo Monster,Roach,-20.85
Jungle,Longzhu Gaming,Crash,28.78
Jungle,Jin Air Green Wings,UmTi,20.47
Jungle,KT Rolster,Score,11.62
Jungle,Longzhu Gaming,Cuzz,10.22
Jungle,MVP,Beyond,8.06
Jungle,SK Telecom T1,Blank,7.94
Jungle,ROX Tigers,Mightybear,5.3
Jungle,Afreeca Freecs,Spirit,5.1
Jungle,Samsung Galaxy,Ambition,4.04
Jungle,Kongdoo Monster,Punch,1.83
Jungle,Ever8 Winners,Malrang,1.55
Jungle,ROX Tigers,Seonghwan,-2.25
Jungle,Afreeca Freecs,Mowgli,-6.64
Jungle,BBQ Olivers,Bless,-8.67
Jungle,Samsung Galaxy,Haru,-12.75
Jungle,SK Telecom T1,Peanut,-13.43
Jungle,Ever8 Winners,Comeback,-28.4
Jungle,Jin Air Green Wings,Raise,-33.15
Middle,Longzhu Gaming,Fly,24.35
Middle,ROX Tigers,Mickey,13.44
Middle,Longzhu Gaming,Bdd,8.58
Middle,MVP,Ian,6.88
Middle,ROX Tigers,Lava,5.89
Middle,Afreeca Freecs,Kuro,4.91
Middle,Samsung Galaxy,Crown,1.52
Middle,KT Rolster,Pawn,1.2
Middle,SK Telecom T1,Faker,-0.65
Middle,BBQ Olivers,Tempt,-0.86
Middle,Jin Air Green Wings,Kuzan,-0.92
Middle,Ever8 Winners,Cepted,-5.44
Middle,Kongdoo Monster,Edge,-17.29
Middle,ROX Tigers,Crow,-44.32
ADC,KT Rolster,Deft,20.09
ADC,Jin Air Green Wings,Teddy,18.16
ADC,SK Telecom T1,Bang,16.65
ADC,Afreeca Freecs,Kramer,16.31
ADC,Longzhu Gaming,PraY,15.8
ADC,Samsung Galaxy,Ruler,14.7
ADC,MVP,MaHa,12.57
ADC,Kongdoo Monster,SSol,11.5
ADC,ROX Tigers,Sangyoon,10.91
ADC,BBQ Olivers,Ghost,1.71
ADC,Samsung Galaxy,Stitch,1.2
ADC,Ever8 Winners,Deul,-2.49
Support,Longzhu Gaming,Gorilla,29.45
Support,MVP,Max,29.42
Support,Afreeca Freecs,TusiN,18.89
Support,Longzhu Gaming,GorillA,14.96
Support,SK Telecom T1,Wolf,5.55
Support,ROX Tigers,Key,5.39
Support,Jin Air Green Wings,SnowFlower,4.79
Support,Samsung Galaxy,CoreJJ,3.08
Support,KT Rolster,Mata,-0.27
Support,Kongdoo Monster,GuGer,-1.95
Support,Ever8 Winners,Ella,-4.58
Support,Afreeca Freecs,Tusin,-5.41
Support,BBQ Olivers,Totoro,-9.65
Support,Ever8 Winners,Comeback,-13
