league,team,player,champion,dmgtochamps,predicted,goldspent
LMS,J Team,Bebe,Ashe,13837,11536.391626725645,12525
LMS,Fire Ball,Unified,Ashe,21435,20118.955469081513,12600
LMS,Wayi Spider,Breeze,Ashe,8755,12331.506481442239,11275
LMS,AHQ e-Sports Club,An,Ashe,18894,19004.912193310796,14125
LMS,Wayi Spider,Breeze,Ashe,8401,18682.846916921026,16550
LMS,Machi 17,Dee,Ashe,9609,10598.660445612433,9900
LMS,Hong Kong Esports,GodKwai,Ashe,17298,17041.384038769804,11775
LMS,eXtreme Gamers,LBB,Ashe,15003,21599.258619543292,14650
LMS,eXtreme Gamers,LBB,Ashe,4264,13490.498804583684,10850
LMS,eXtreme Gamers,LBB,Ashe,10965,12680.903975201838,10800
LMS,Wayi Spider,Breeze,Ashe,15934,16115.586055227333,13550
LMS,Wayi Spider,Breeze,Ashe,14777,17965.52433370962,13150
LMS,eXtreme Gamers,LBB,Ashe,11122,11311.872716610056,9025
LMS,eXtreme Gamers,LBB,Ashe,4754,10733.40916314871,8700
LMS,Fire Ball,Unified,Ashe,33405,24854.000637713314,17275
LMS,Fire Ball,Unified,Ashe,27336,44332.512352123056,24350
LMS,J Team,Bebe,Ashe,26790,36196.560953706314,19375
LMS,AHQ e-Sports Club,An,Ashe,10530,10224.242069510268,12275
LMS,AHQ e-Sports Club,An,Ashe,11392,18133.78678498612,12850
LMS,Fire Ball,Unified,Ashe,6760,8027.82841567605,7525
LMS,Fire Ball,Unified,Ashe,6969,7169.610136806586,7600
LMS,Flash Wolves,Betty,Ashe,8463,11757.69482069958,12075
LMS,Flash Wolves,Betty,Ashe,5505,9758.14474838175,10725
LMS,J Team,BeBe,Ashe,18041,23374.935580706126,16050
LMS,J Team,BeBe,Ashe,12061,13193.038531844173,9975
LMS,Machi 17,Dee,Ashe,36201,34703.889796791336,19050
LMS,Machi 17,Dee,Ashe,15707,19504.684252529114,13975
LMS,Hong Kong Attitude,GodKwai,Ashe,17932,9202.680495402343,10600
LMS,Wayi Spider,Breeze,Ashe,20437,7812.652442765585,9475
LMS,Wayi Spider,Breeze,Ashe,9944,13685.976511181829,10350
LMS,Hong Kong Attitude,GodKwai,Ashe,13437,12970.476387680696,10075
LMS,AHQ e-Sports Club,LBB,Ashe,12460,10427.846288662304,1e4
LMS,AHQ e-Sports Club,An,Ashe,15505,16152.831872874944,12875
LMS,Wayi Spider,Breeze,Ashe,28534,21322.78678965919,15675
LMS,Wayi Spider,Breeze,Ashe,33375,17150.029895838048,15125
LMS,J Team,BeBe,Ashe,21521,30670.830910910325,19395
LMS,J Team,BeBe,Ashe,18688,19780.20453903043,14950
LMS,Flash Wolves,Madnesss,Ashe,27301,29262.131904321905,17300
LMS,Wayi Spider,Breeze,Ashe,17690,17051.63150038186,14200
LMS,Machi 17,Dee,Ashe,10066,9438.206604296145,7825
LMS,Machi 17,Dee,Ashe,7258,11063.26220185621,1e4
LMS,Fire Ball,Unified,Ashe,17108,32384.827462137262,17575
LMS,Wayi Spider,Breeze,Ashe,8972,13088.103518588225,13325
LMS,Wayi Spider,Breeze,Ashe,26612,23504.789867864692,18425
LMS,J Team,BeBe,Ashe,21721,17149.50818732034,15175
LMS,Flash Wolves,Betty,Ashe,6757,9387.014971816117,9675
LMS,Hong Kong Attitude,GodKwai,Ashe,14651,8356.89020993601,7750
LMS,J Team,BeBe,Ashe,14452,19974.182456037346,14235
LMS,J Team,BeBe,Ashe,14110,10988.321965599574,10575
LMS,Wayi Spider,Breeze,Ashe,9947,18962.008978519305,15625
LMS,AHQ e-Sports Club,An,Ashe,12736,15190.406101755014,13750
LMS,Fire Ball,Unified,Ashe,6414,10308.103709723135,9050
LMS,AHQ e-Sports Club,An,Ashe,15718,16758.933492833334,14735
LMS,AHQ e-Sports Club,An,Ashe,17721,12770.920330162959,10500
LMS,J Team,BeBe,Ashe,19046,19173.737899663913,13600
LMS,AHQ e-Sports Club,An,Ashe,22244,14752.24761736699,13925
LMS,J Team,BeBe,Ashe,11181,16963.714583979952,12e3
LMS,AHQ e-Sports Club,An,Ashe,10313,7087.770957272591,7975
LMS,Hong Kong Attitude,Unified,Ashe,17131,12181.055068149217,14500
LMS,Hong Kong Attitude,Unified,Ashe,12287,9967.251897688076,10625
LMS,Wayi Spider,Breeze,Ashe,26448,13113.758698486461,11300
LMS,Hong Kong Attitude,Unified,Ashe,28273,29870.41136878702,2e4
LMS,Raise Gaming,LilV,Ashe,22343,16031.760712599978,14750
LMS,Hong Kong Esports,GodKwai,Caitlyn,7386,8224.072363805684,7750
LMS,Machi 17,Dee,Caitlyn,13636,13680.668083573672,13100
LMS,Raise Gaming,LilV,Caitlyn,26179,24964.426498421457,18050
LMS,Fire Ball,Unified,Caitlyn,22871,19104.439584360272,13200
LMS,Machi 17,Dee,Caitlyn,19552,30522.34368082878,22475
LMS,Hong Kong Attitude,GodKwai,Caitlyn,10148,13242.48285750319,8775
