position,team,player,dmg_performance
Top,J Team,Morning,24.9
Top,Hong Kong Attitude,MapleSnow,18.48
Top,AHQ e-Sports Club,Ziv,12.17
Top,Hong Kong Esports,MapleSnow,7.25
Top,Hong Kong Attitude,Riris,5.13
Top,Raise Gaming,Pk,4.11
Top,Wayi Spider,Nexus,3.41
Top,Flash Wolves,MMD,2.47
Top,eXtreme Gamers,Nexus,-3
Top,J Team,Rest,-3.6
Top,Fire Ball,Ninuo,-7.55
Top,Machi 17,3z,-12.73
Top,Wayi Spider,Rins,-22.91
Top,Flash Wolves,Moonblackk,-27.82
Top,Machi 17,BoBo,-30.22
Jungle,J Team,Alex,23.26
Jungle,Flash Wolves,Karsa,12.94
Jungle,Fire Ball,Wulala,1.35
Jungle,AHQ e-Sports Club,Mountain,1.09
Jungle,Flash Wolves,REFRA1N,0.76
Jungle,Machi 17,Taizan,0.23
Jungle,J Team,Breaker,-1.42
Jungle,Wayi Spider,Epic,-3.49
Jungle,J Team,REFRA1N,-6.87
Jungle,Hong Kong Attitude,Gemini,-7.98
Jungle,Raise Gaming,Laba,-9.86
Jungle,Hong Kong Attitude,GodKwai,-10.78
Jungle,Fire Ball,Wind,-18.04
Jungle,Hong Kong Esports,Wulala,-21.5
Jungle,Hong Kong Esports,Gemini,-26.53
Jungle,Hong Kong Attitude,once1,-33.7
Jungle,eXtreme Gamers,Pony,-42.01
Middle,J Team,FoFo,21.63
Middle,Flash Wolves,Maple,10.05
Middle,J Team,Fofo,5
Middle,AHQ e-Sports Club,Chawy,3.7
Middle,Hong Kong Attitude,M1ssion,2.66
Middle,Fire Ball,MarS,0.2
Middle,Wayi Spider,Wako,-0.2
Middle,Fire Ball,M1ssion,-1.57
Middle,Hong Kong Esports,Gear,-3.12
Middle,Raise Gaming,wuji,-4.94
Middle,Machi 17,Apex,-5.55
Middle,AHQ e-Sports Club,Westdoor,-7.19
Middle,eXtreme Gamers,SiuSiu,-11.32
Middle,Fire Ball,KuKu,-18.36
Middle,Hong Kong Esports,KuKu,-29.03
Middle,Fire Ball,Wulala,-30
Middle,Fire Ball,Wind,-33.28
Middle,eXtreme Gamers,Chingz,-62.67
ADC,Flash Wolves,Betty,20.41
ADC,Hong Kong Attitude,GodKwai,11.77
ADC,AHQ e-Sports Club,An,8.58
ADC,Hong Kong Attitude,Unified,6.85
ADC,J Team,Bebe,2.77
ADC,Wayi Spider,Breeze,2.61
ADC,J Team,BeBe,1.46
ADC,Flash Wolves,Madnesss,-3.86
ADC,Raise Gaming,LilV,-4.82
ADC,Fire Ball,Unified,-7.89
ADC,AHQ e-Sports Club,LBB,-8.98
ADC,Machi 17,Dee,-14.2
ADC,Raise Gaming,Ran,-19.75
ADC,Fire Ball,Enzz,-23.49
ADC,Hong Kong Esports,GodKwai,-25.78
ADC,Hong Kong Attitude,DANDAN,-28.73
ADC,eXtreme Gamers,LBB,-35.59
Support,AHQ e-Sports Club,Albis,23.65
Support,J Team,Jay,13.21
Support,Raise Gaming,Koala,11.61
Support,Wayi Spider,Zest,5.28
Support,Flash Wolves,SwordArt,4.22
Support,eXtreme Gamers,SuKi,-0.48
Support,Wayi Spider,K,-0.98
Support,Hong Kong Esports,Veki,-2.66
Support,Hong Kong Attitude,Kaiwing,-2.87
Support,Machi 17,Dreamer,-3.47
Support,Fire Ball,SkuLL,-9.18
