league,team,player,champion,dmgtochamps,predicted,goldspent
LMS,J Team,Bebe,Ashe,13837,494.3922973341726,12525
LMS,Fire Ball,Unified,Ashe,21435,404.05676934002514,12600
LMS,Wayi Spider,Breeze,Ashe,8755,404.05676933978566,11275
LMS,AHQ e-Sports Club,An,Ashe,18894,494.392297333944,14125
LMS,Wayi Spider,Breeze,Ashe,8401,494.3922973339837,16550
LMS,Machi 17,Dee,Ashe,9609,494.39229733397553,9900
LMS,Hong Kong Esports,GodKwai,Ashe,17298,494.3922973340087,11775
LMS,eXtreme Gamers,LBB,Ashe,15003,404.056769340041,14650
LMS,eXtreme Gamers,LBB,Ashe,4264,404.05676934005635,10850
LMS,eXtreme Gamers,LBB,Ashe,10965,404.05676934000377,10800
LMS,Wayi Spider,Breeze,Ashe,15934,404.0567693400083,13550
LMS,Wayi Spider,Breeze,Ashe,14777,404.05676934000945,13150
LMS,eXtreme Gamers,LBB,Ashe,11122,404.05676934000377,9025
LMS,eXtreme Gamers,LBB,Ashe,4754,404.05676934000707,8700
LMS,Fire Ball,Unified,Ashe,33405,404.05676933998734,17275
LMS,Fire Ball,Unified,Ashe,27336,404.0567693400043,24350
LMS,J Team,Bebe,Ashe,26790,404.05676934000684,19375
LMS,AHQ e-Sports Club,An,Ashe,10530,404.05676934000684,12275
LMS,AHQ e-Sports Club,An,Ashe,11392,404.05676934000917,12850
LMS,Fire Ball,Unified,Ashe,6760,404.0567693400005,7525
LMS,Fire Ball,Unified,Ashe,6969,404.0567693400073,7600
LMS,Flash Wolves,Betty,Ashe,8463,494.3922973339769,12075
LMS,Flash Wolves,Betty,Ashe,5505,494.39229733398486,10725
LMS,J Team,BeBe,Ashe,18041,494.3922973339819,16050
LMS,J Team,BeBe,Ashe,12061,494.3922973339685,9975
LMS,Machi 17,Dee,Ashe,36201,494.3922973339849,19050
LMS,Machi 17,Dee,Ashe,15707,404.0567693400098,13975
LMS,Hong Kong Attitude,GodKwai,Ashe,17932,404.05676934000724,10600
LMS,Wayi Spider,Breeze,Ashe,20437,404.05676934001445,9475
LMS,Wayi Spider,Breeze,Ashe,9944,404.0567693400096,10350
LMS,Hong Kong Attitude,GodKwai,Ashe,13437,404.0567693400103,10075
LMS,AHQ e-Sports Club,LBB,Ashe,12460,404.0567693400085,1e4
LMS,AHQ e-Sports Club,An,Ashe,15505,494.3922973339808,12875
LMS,Wayi Spider,Breeze,Ashe,28534,494.39229733398145,15675
LMS,Wayi Spider,Breeze,Ashe,33375,494.3922973339796,15125
LMS,J Team,BeBe,Ashe,21521,494.3922973339863,19395
LMS,J Team,BeBe,Ashe,18688,494.3922973339824,14950
LMS,Flash Wolves,Madnesss,Ashe,27301,404.0567693400085,17300
LMS,Wayi Spider,Breeze,Ashe,17690,494.3922973339802,14200
LMS,Machi 17,Dee,Ashe,10066,404.0567693400082,7825
LMS,Machi 17,Dee,Ashe,7258,404.0567693400095,1e4
LMS,Fire Ball,Unified,Ashe,17108,404.0567693400087,17575
LMS,Wayi Spider,Breeze,Ashe,8972,494.3922973339812,13325
LMS,Wayi Spider,Breeze,Ashe,26612,404.0567693400086,18425
LMS,J Team,BeBe,Ashe,21721,494.39229733398133,15175
LMS,Flash Wolves,Betty,Ashe,6757,494.3922973339812,9675
LMS,Hong Kong Attitude,GodKwai,Ashe,14651,404.0567693400087,7750
LMS,J Team,BeBe,Ashe,14452,404.0567693400087,14235
LMS,J Team,BeBe,Ashe,14110,494.3922973339812,10575
LMS,Wayi Spider,Breeze,Ashe,9947,404.0567693400087,15625
LMS,AHQ e-Sports Club,An,Ashe,12736,404.0567693400087,13750
LMS,Fire Ball,Unified,Ashe,6414,404.05676934000877,9050
LMS,AHQ e-Sports Club,An,Ashe,15718,494.3922973339813,14735
LMS,AHQ e-Sports Club,An,Ashe,17721,404.0567693400086,10500
LMS,J Team,BeBe,Ashe,19046,404.05676934000877,13600
LMS,AHQ e-Sports Club,An,Ashe,22244,494.3922973339813,13925
LMS,J Team,BeBe,Ashe,11181,404.05676934000877,12e3
LMS,AHQ e-Sports Club,An,Ashe,10313,404.0567693400087,7975
LMS,Hong Kong Attitude,Unified,Ashe,17131,494.3922973339812,14500
LMS,Hong Kong Attitude,Unified,Ashe,12287,404.05676934000877,10625
LMS,Wayi Spider,Breeze,Ashe,26448,494.39229733398037,11300
LMS,Hong Kong Attitude,Unified,Ashe,28273,494.3922973339812,2e4
LMS,Raise Gaming,LilV,Ashe,22343,494.39229733398133,14750
LMS,Hong Kong Esports,GodKwai,Caitlyn,7386,455.7879210775948,7750
LMS,Machi 17,Dee,Caitlyn,13636,455.7879210775946,13100
LMS,Raise Gaming,LilV,Caitlyn,26179,629.1250436092698,18050
LMS,Fire Ball,Unified,Caitlyn,22871,455.7879210775947,13200
LMS,Machi 17,Dee,Caitlyn,19552,455.7879210775946,22475
LMS,Hong Kong Attitude,GodKwai,Caitlyn,10148,455.78792107759466,8775
LMS,Wayi Spider,Breeze,Caitlyn,29521,629.1250436092698,20375
LMS,Flash Wolves,Madnesss,Caitlyn,26555,455.78792107759466,17650
LMS,Machi 17,Dee,Caitlyn,7525,455.78792107759466,12925
LMS,Fire Ball,Unified,Caitlyn,27409,629.12504360927,14300
LMS,Hong Kong Attitude,GodKwai,Caitlyn,16013,629.1250436092698,14225
LMS,Hong Kong Attitude,GodKwai,Caitlyn,28043,629.1250436092698,19975
LMS,Fire Ball,Unified,Caitlyn,9764,455.7879210775948,11850
LMS,Raise Gaming,LilV,Caitlyn,25299,629.1250436092698,19725
LMS,Raise Gaming,LilV,Caitlyn,25131,455.78792107759455,18e3
LMS,Raise Gaming,LilV,Caitlyn,25131,455.7879210775947,18e3
LMS,Machi 17,Dee,Caitlyn,8290,455.7879210775948,9325
LMS,Flash Wolves,Betty,Caitlyn,15839,629.1250436092698,10425
LMS,Hong Kong Attitude,GodKwai,Caitlyn,24095,629.1250436092698,19700
LMS,Hong Kong Attitude,GodKwai,Caitlyn,21629,629.1250436092698,20175
LMS,Flash Wolves,Betty,Caitlyn,26038,629.1250436092699,14450
LMS,AHQ e-Sports Club,An,Caitlyn,29952,629.1250436092702,15025
LMS,Fire Ball,Unified,Caitlyn,36206,629.12504360927,20375
LMS,Fire Ball,Unified,Caitlyn,39109,455.78792107759455,14675
LMS,AHQ e-Sports Club,An,Caitlyn,23510,629.1250436092698,16075
LMS,AHQ e-Sports Club,An,Caitlyn,12248,629.1250436092698,9775
LMS,AHQ e-Sports Club,An,Caitlyn,20095,629.1250436092699,11725
LMS,AHQ e-Sports Club,An,Caitlyn,13379,455.7879210775946,10775
LMS,Machi 17,Dee,Caitlyn,10761,455.78792107759466,9475
LMS,AHQ e-Sports Club,An,Caitlyn,10606,455.7879210775948,12875
LMS,Flash Wolves,Betty,Caitlyn,14103,629.1250436092698,12075
LMS,Fire Ball,Enzz,Caitlyn,7359,455.78792107759466,10500
LMS,Hong Kong Attitude,Unified,Caitlyn,17769,629.1250436092698,12150
LMS,Wayi Spider,Breeze,Caitlyn,23714,455.7879210775946,17300
LMS,Flash Wolves,Betty,Caitlyn,46551,455.78792107759455,19775
LMS,Raise Gaming,LilV,Caitlyn,25953,629.12504360927,14900
LMS,Fire Ball,Enzz,Caitlyn,14872,455.78792107759455,9975
LMS,Fire Ball,Enzz,Caitlyn,16041,455.7879210775946,11950
LMS,J Team,BeBe,Caitlyn,14086,629.1250436092698,7250
LMS,Wayi Spider,Breeze,Ezreal,12944,534.1868355862601,9975
LMS,eXtreme Gamers,LBB,Ezreal,15545,534.18683558626,15058
LMS,AHQ e-Sports Club,An,Ezreal,12024,653.7876076468807,11333
LMS,Machi 17,Dee,Jhin,5198,464.4575926665713,12550
LMS,Hong Kong Esports,GodKwai,Jhin,26373,547.1549375173718,14875
LMS,Flash Wolves,Betty,Jhin,10814,547.1549375173718,13275
LMS,J Team,Bebe,Jhin,17892,547.1549375173718,13475
LMS,Flash Wolves,Betty,Jhin,38905,547.1549375173718,25575
LMS,J Team,BeBe,Jhin,14398,547.1549375173718,13100
LMS,Wayi Spider,Breeze,Jhin,37020,464.4575926665715,21750
LMS,Machi 17,Dee,Jhin,6152,547.1549375173719,10750
LMS,Hong Kong Attitude,GodKwai,Jhin,34911,464.4575926665714,14700
LMS,Raise Gaming,Ran,Jhin,7914,464.45759266657114,10525
LMS,Machi 17,Dee,Jhin,13564,547.1549375173718,14025
LMS,J Team,BeBe,Jhin,26272,547.154937517372,12575
LMS,Raise Gaming,LilV,Jhin,19253,547.1549375173718,10050
LMS,Hong Kong Attitude,Unified,Jhin,13867,547.1549375173718,10525
LMS,Fire Ball,Enzz,Jhin,13520,464.45759266657114,10150
LMS,J Team,BeBe,Jhin,16503,464.45759266657114,13525
LMS,J Team,BeBe,Jhin,9617,464.45759266657114,8750
LMS,Machi 17,Dee,Jhin,8238,464.45759266657114,9325
LMS,Hong Kong Attitude,Unified,Jhin,38324,464.4575926665714,18e3
LMS,Machi 17,Dee,Jhin,5020,547.154937517372,11025
LMS,Machi 17,Dee,Jhin,11712,547.1549375173718,10825
LMS,Machi 17,Dee,Jhin,47286,547.1549375173718,21125
