position,team,player,dmg_performance
Top,J Team,Morning,19.4
Top,Hong Kong Attitude,MapleSnow,14.23
Top,Hong Kong Esports,MapleSnow,13.73
Top,AHQ e-Sports Club,Ziv,8.75
Top,eXtreme Gamers,Nexus,6.26
Top,Raise Gaming,Pk,4.74
Top,Wayi Spider,Nexus,3.23
Top,Hong Kong Attitude,Riris,2.16
Top,Flash Wolves,Moonblackk,1.18
Top,Fire Ball,Ninuo,0.09
Top,Flash Wolves,MMD,-1.98
Top,J Team,Rest,-9.24
Top,Machi 17,3z,-13.92
Top,Wayi Spider,Rins,-15.92
Top,Machi 17,BoBo,-26.83
Jungle,J Team,Alex,12.3
Jungle,Flash Wolves,Karsa,3.85
Jungle,Fire Ball,Wulala,2.9
Jungle,Wayi Spider,Epic,-5.99
Jungle,Machi 17,Taizan,-7.95
Jungle,J Team,REFRA1N,-8.52
Jungle,Fire Ball,Wind,-8.8
Jungle,AHQ e-Sports Club,Mountain,-10.93
Jungle,J Team,Breaker,-17.86
Jungle,Hong Kong Attitude,Gemini,-19.35
Jungle,Raise Gaming,Laba,-20.39
Jungle,Flash Wolves,REFRA1N,-21.24
Jungle,Hong Kong Esports,Gemini,-23.38
Jungle,Hong Kong Attitude,once1,-29.27
Jungle,Hong Kong Attitude,GodKwai,-30.93
Jungle,Hong Kong Esports,Wulala,-31.01
Jungle,eXtreme Gamers,Pony,-37.29
Middle,J Team,FoFo,26.46
Middle,Fire Ball,M1ssion,21.17
Middle,Fire Ball,MarS,14.09
Middle,Flash Wolves,Maple,4.63
Middle,AHQ e-Sports Club,Chawy,4.4
Middle,Wayi Spider,Wako,2.43
Middle,AHQ e-Sports Club,Westdoor,1.45
Middle,Hong Kong Attitude,M1ssion,0.98
Middle,Machi 17,Apex,-1.46
Middle,Raise Gaming,wuji,-2.65
Middle,Hong Kong Esports,Gear,-3.99
Middle,J Team,Fofo,-5.76
Middle,eXtreme Gamers,SiuSiu,-8.14
Middle,Fire Ball,KuKu,-11.49
Middle,Fire Ball,Wulala,-29.04
Middle,Fire Ball,Wind,-31.3
Middle,Hong Kong Esports,KuKu,-32.26
Middle,eXtreme Gamers,Chingz,-62.43
ADC,Flash Wolves,Madnesss,16.99
ADC,Hong Kong Attitude,GodKwai,10.89
ADC,Flash Wolves,Betty,8.16
ADC,J Team,Bebe,3.7
ADC,Wayi Spider,Breeze,2.71
ADC,Fire Ball,Unified,2.03
ADC,J Team,BeBe,-1.43
ADC,Hong Kong Attitude,Unified,-2.69
ADC,Raise Gaming,LilV,-5.67
ADC,AHQ e-Sports Club,An,-8.58
ADC,Machi 17,Dee,-16.73
ADC,Fire Ball,Enzz,-26.34
ADC,AHQ e-Sports Club,LBB,-29.69
ADC,Hong Kong Attitude,DANDAN,-30.11
ADC,eXtreme Gamers,LBB,-32.03
ADC,Hong Kong Esports,GodKwai,-35.35
ADC,Raise Gaming,Ran,-39.09
Support,Raise Gaming,Koala,2.97
Support,Flash Wolves,SwordArt,-0.05
Support,Hong Kong Attitude,Kaiwing,-3.87
Support,AHQ e-Sports Club,Albis,-5
Support,J Team,Jay,-5.2
Support,Fire Ball,SkuLL,-9.21
Support,Wayi Spider,Zest,-9.35
Support,Machi 17,Dreamer,-11.61
Support,Wayi Spider,K,-11.92
Support,eXtreme Gamers,SuKi,-16.16
Support,Hong Kong Esports,Veki,-27.47
