position,team,player,dmg_performance
Top,Longzhu Gaming,Expession,18.52
Top,SK Telecom T1,Huni,12.44
Top,KT Rolster,Smeb,10.86
Top,Longzhu Gaming,Khan,9.76
Top,MVP,ADD,7.68
Top,Samsung Galaxy,CuVee,3
Top,BBQ Olivers,Crazy,1.39
Top,Ever8 Winners,Helper,-1.68
Top,BBQ Olivers,Part,-2.32
Top,Jin Air Green Wings,SoHwan,-2.6
Top,ROX Tigers,Lindarang,-3.18
Top,Ever8 Winners,Kiin,-3.8
Top,Jin Air Green Wings,ikssu,-4.06
Top,Afreeca Freecs,MaRin,-4.69
Top,ROX Tigers,Shy,-5.17
Top,SK Telecom T1,Profit,-5.98
Top,Longzhu Gaming,Rascal,-9.28
Top,SK Telecom T1,Untara,-11.15
Top,Kongdoo Monster,Roach,-27
Jungle,Longzhu Gaming,Crash,11.47
Jungle,Longzhu Gaming,Cuzz,8.44
Jungle,Jin Air Green Wings,UmTi,6.42
Jungle,Afreeca Freecs,Mowgli,5.81
Jungle,SK Telecom T1,Blank,5.34
Jungle,KT Rolster,Score,3.1
Jungle,Samsung Galaxy,Ambition,-0.15
Jungle,MVP,Beyond,-0.97
Jungle,Ever8 Winners,Malrang,-1.49
Jungle,ROX Tigers,Seonghwan,-2.08
Jungle,ROX Tigers,Mightybear,-3.07
Jungle,Afreeca Freecs,Spirit,-4.27
Jungle,Kongdoo Monster,Punch,-5.96
Jungle,BBQ Olivers,Bless,-12.06
Jungle,SK Telecom T1,Peanut,-12.21
Jungle,Samsung Galaxy,Haru,-15.13
Jungle,Ever8 Winners,Comeback,-20.97
Jungle,Jin Air Green Wings,Raise,-25.5
Middle,Longzhu Gaming,Fly,17.29
Middle,ROX Tigers,Mickey,5.15
Middle,MVP,Ian,1.42
Middle,SK Telecom T1,Faker,0.83
Middle,Samsung Galaxy,Crown,-0.3
Middle,Afreeca Freecs,Kuro,-1.21
Middle,ROX Tigers,Lava,-4.82
Middle,Longzhu Gaming,Bdd,-5.78
Middle,KT Rolster,Pawn,-8.39
Middle,BBQ Olivers,Tempt,-8.73
Middle,Ever8 Winners,Cepted,-15.21
Middle,Jin Air Green Wings,Kuzan,-16.64
Middle,Kongdoo Monster,Edge,-23.78
Middle,ROX Tigers,Crow,-32.5
ADC,SK Telecom T1,Bang,16.2
ADC,KT Rolster,Deft,13.13
ADC,Samsung Galaxy,Ruler,6.02
ADC,Longzhu Gaming,PraY,3.12
ADC,Afreeca Freecs,Kramer,-0.63
ADC,MVP,MaHa,-0.98
ADC,ROX Tigers,Sangyoon,-2.05
ADC,Ever8 Winners,Deul,-2.78
ADC,Samsung Galaxy,Stitch,-3.68
ADC,BBQ Olivers,Ghost,-6.9
ADC,Jin Air Green Wings,Teddy,-6.92
ADC,Kongdoo Monster,SSol,-9.21
Support,Longzhu Gaming,Gorilla,27.28
Support,Afreeca Freecs,TusiN,14.61
Support,MVP,Max,10.64
Support,SK Telecom T1,Wolf,9.45
Support,Longzhu Gaming,GorillA,9.11
Support,Samsung Galaxy,CoreJJ,3.52
Support,KT Rolster,Mata,-2.26
Support,ROX Tigers,Key,-3.94
Support,Jin Air Green Wings,SnowFlower,-4.01
Support,Ever8 Winners,Comeback,-8.41
Support,Afreeca Freecs,Tusin,-10.77
Support,Ever8 Winners,Ella,-11.14
Support,Kongdoo Monster,GuGer,-12.98
Support,BBQ Olivers,Totoro,-12.99
